,Unnamed: 0,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn
0,0,Journal of Great Lakes Research,17510,03801330,,Journal,63.0,03801330
1,1,Canadian Journal of Fisheries and Aquatic Sciences,12016,0706652X,12057533,Journal,60.0,12057533
2,2,Environmental Toxicology and Chemistry,25094,07307268,15528618,Journal,38.0,15528618
3,3,Animal Behaviour,24580,00033472,,Journal,31.0,00033472
4,4,Biological Invasions,13257,13873547,15731464,Journal,29.0,15731464
5,5,Environmental Science and Technology,21537,0013936X,15205851,Journal,26.0,15205851
6,6,Molecular Ecology,20297,09621083,1365294X,Journal,24.0,1365294X
7,7,Journal of Fish Biology,22560,00221112,10958649,Journal,24.0,10958649
8,8,Hydrobiologia,15168,00188158,15735117,Journal,23.0,15735117
9,9,PLoS ONE,10600153309,,19326203,Journal,22.0,19326203
10,10,Ecology and Evolution,21100264002,,20457758,Journal,19.0,20457758
11,11,Freshwater Biology,15112,00465070,13652427,Journal,19.0,13652427
12,12,Diversity and Distributions,14551,13669516,14724642,Journal,18.0,14724642
13,13,Journal of Evolutionary Biology,18920,1010061X,14209101,Journal,18.0,14209101
14,14,Journal of Avian Biology,22035,09088857,1600048X,Journal,18.0,1600048X
15,15,Chemosphere,24657,00456535,18791298,Journal,16.0,18791298
16,16,Behavioral Ecology,13151,10452249,14657279,Journal,16.0,14657279
17,17,Proceedings of the Royal Society B: Biological Sciences,130030,09628452,14712954,Journal,14.0,14712954
18,18,Science of the Total Environment,25349,00489697,18791026,Journal,13.0,18791026
19,19,Bulletin of Environmental Contamination and Toxicology,24624,00074861,14320800,Journal,13.0,14320800
20,20,Heredity,22235,0018067X,13652540,Journal,13.0,13652540
21,21,Ethology,21489,01791613,14390310,Journal,13.0,14390310
22,22,International Journal of Hydrogen Energy,26991,03603199,,Journal,13.0,03603199
23,23,Ecological Applications,20287,,19395582,Journal,12.0,19395582
24,24,Oecologia,12925,00298549,,Journal,12.0,00298549
25,25,Marine Ecology Progress Series,12169,01718630,,Journal,12.0,01718630
26,26,Limnology and Oceanography,29576,,19395590,Journal,12.0,19395590
27,27,Conservation Genetics,22069,15660621,15729737,Journal,11.0,15729737
28,28,Canadian Journal of Zoology,24765,00084301,,Journal,11.0,00084301
29,29,Bioacoustics,24714,09524622,21650586,Journal,10.0,21650586
30,30,Behaviour,24713,00057959,1568539X,Journal,10.0,1568539X
31,31,Aquaculture,29419,00448486,,Journal,10.0,00448486
32,32,Environmental Pollution,23916,02697491,18736424,Journal,9.0,18736424
33,33,Auk,20977,00048038,,Journal,9.0,00048038
34,34,General and Comparative Endocrinology,26113,00166480,10956840,Journal,9.0,10956840
35,35,Behavioral Ecology and Sociobiology,22803,03405443,,Journal,9.0,03405443
36,36,Journal of Ornithology,22037,21937192,21937206,Journal,9.0,21937206
37,37,Journal of Experimental Biology,29605,00220949,,Journal,9.0,00220949
38,38,Transactions of the American Fisheries Society,29411,00028487,15488659,Journal,9.0,15488659
39,39,Aquatic Ecosystem Health and Management,16730,14634988,15394077,Journal,8.0,15394077
40,40,"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology",23456,03407594,14321351,Journal,8.0,14321351
41,41,Journal of Field Ornithology,22036,02738570,15579263,Journal,8.0,15579263
42,42,Condor,21554,00105422,,Journal,8.0,00105422
43,43,Marine Biology,12165,00253162,,Journal,8.0,00253162
44,44,Cell Cycle,18455,15384101,15514005,Journal,8.0,15514005
45,45,Science,23571,00368075,10959203,Journal,8.0,10959203
46,46,Journal of Applied Ecology,29547,00218901,13652664,Journal,7.0,13652664
47,47,Ecology Letters,14599,1461023X,14610248,Journal,7.0,14610248
48,48,Physiological and Biochemical Zoology,23318,15222152,,Journal,7.0,15222152
49,49,Journal of Comparative Neurology,16689,00219967,10969861,Journal,7.0,10969861
50,50,American Naturalist,12604,00030147,,Journal,7.0,00030147
51,51,Ecological Modelling,23274,03043800,,Journal,7.0,03043800
52,52,Archives of Environmental Contamination and Toxicology,24603,00904341,14320703,Journal,7.0,14320703
53,53,Canadian Entomologist,19716,0008347X,19183240,Journal,7.0,19183240
54,54,Functional Ecology,18002,02698463,13652435,Journal,6.0,13652435
55,55,Journal of Medical Entomology,20491,00222585,19382928,Journal,6.0,19382928
56,56,Genetica,22171,00166707,15736857,Journal,6.0,15736857
57,57,Hormones and Behavior,26133,0018506X,10956867,Journal,6.0,10956867
58,58,Plant Journal,16612,09607412,,Journal,6.0,09607412
59,59,Nature,21206,00280836,14764687,Journal,5.0,14764687
60,60,Journal of Cell Science,18556,00219533,14779137,Journal,5.0,14779137
61,61,Marine Pollution Bulletin,24024,0025326X,18793363,Journal,5.0,18793363
62,62,Comparative Biochemistry and Physiology - A Molecular and Integrative Physiology,3500148021,10956433,15314332,Journal,5.0,15314332
63,63,Journal of Neurophysiology,23475,00223077,,Journal,5.0,00223077
64,64,Polar Biology,13048,07224060,,Journal,5.0,07224060
65,65,Journal of Neuroscience,16764,02706474,15292401,Journal,5.0,15292401
66,66,Rapid Communications in Mass Spectrometry,24088,09514198,10970231,Journal,5.0,10970231
67,67,Ornitologia Neotropical,4700152417,10754377,,Journal,5.0,10754377
68,68,Molecular Ecology Notes,20299,14718278,14718286,Journal,5.0,14718286
69,69,Hearing Research,13707,03785955,18785891,Journal,5.0,18785891
70,70,Environmental Entomology,20311,0046225X,19382936,Journal,5.0,19382936
71,71,Conservation Biology,17822,08888892,15231739,Journal,5.0,15231739
72,72,Gene,15636,03781119,,Journal,5.0,03781119
73,73,Development,14531,09501991,14779129,Journal,5.0,14779129
74,74,Journal of Heredity,18926,00221503,14657333,Journal,5.0,14657333
75,76,Entomologia Experimentalis et Applicata,19793,00138703,15707458,Journal,4.0,15707458
76,77,Biology Letters,145678,17449561,1744957X,Journal,4.0,1744957X
77,78,Theriogenology,18903,0093691X,,Journal,4.0,0093691X
78,79,Integrated Environmental Assessment and Management,4400151417,15513793,,Journal,4.0,15513793
79,80,Developmental Biology,14536,00121606,1095564X,Journal,4.0,1095564X
80,81,Journal of Experimental Marine Biology and Ecology,29606,00220981,,Journal,4.0,00220981
81,82,Methods in Ecology and Evolution,21100217611,,2041210X,Journal,4.0,2041210X
82,83,Current Biology,15537,09609822,,Journal,4.0,09609822
83,84,Aquaculture Research,29427,1355557X,,Journal,4.0,1355557X
84,85,Biochemistry and Cell Biology,16870,08298211,12086002,Journal,4.0,12086002
85,86,Fish Physiology and Biochemistry,21930,09201742,,Journal,4.0,09201742
86,87,Wetlands,19429,02775212,19436246,Journal,4.0,19436246
87,88,Journal of Cell Biology,18555,00219525,15408140,Journal,4.0,15408140
88,89,Wilson Journal of Ornithology,4400151710,15594491,,Journal,4.0,15594491
89,90,Evolutionary Applications,19400157205,17524563,17524571,Journal,4.0,17524571
90,91,Royal Society Open Science,21100446014,,20545703,Journal,4.0,20545703
91,92,Aquatic Biology,17300154739,18647782,18647790,Journal,4.0,18647790
92,93,Freshwater Science,21100297824,21619549,21619565,Journal,4.0,21619565
93,94,Journal of the Acoustical Society of America,12936,00014966,,Journal,4.0,00014966
94,95,Biological Journal of the Linnean Society,29771,00244066,10958312,Journal,3.0,10958312
95,96,Journal of Morphology,29629,03622525,10974687,Journal,3.0,10974687
96,97,Scientific Reports,21100200805,,20452322,Journal,3.0,20452322
97,99,Environmental Biology of Fishes,21487,03781909,15735133,Journal,3.0,15735133
98,100,Molecular Ecology Resources,11700154306,1755098X,17550998,Journal,3.0,17550998
99,101,Molecular Phylogenetics and Evolution,18965,10557903,10959513,Journal,3.0,10959513
100,102,Water research,18795,,18792448,Journal,3.0,18792448
101,103,Marine and Freshwater Research,27846,13231650,,Journal,3.0,13231650
102,104,Conservation Genetics Resources,19400158520,18777252,18777260,Journal,3.0,18777260
103,105,Genome,22211,08312796,,Journal,3.0,08312796
104,106,Biocontrol Science and Technology,36197,09583157,13600478,Journal,3.0,13600478
105,107,Proceedings of the National Academy of Sciences of the United States of America,21121,00278424,10916490,Journal,3.0,10916490
106,108,EMBO Journal,17435,02614189,14602075,Journal,3.0,14602075
107,109,Environment International,20912,01604120,18736750,Journal,3.0,18736750
108,110,BMC Cancer,28747,,14712407,Journal,3.0,14712407
109,111,Plant Cell Reports,16595,07217714,1432203X,Journal,3.0,1432203X
110,112,Plant Cell,16594,10404651,,Journal,3.0,10404651
111,113,Brain Research,14346,00068993,,Journal,3.0,00068993
112,114,Trends in Ecology and Evolution,14365,01695347,,Journal,3.0,01695347
113,116,NeoBiota,21100464918,16190033,13142488,Journal,3.0,13142488
114,117,"Water, Air, and Soil Pollution",24554,00496979,15732932,Journal,3.0,15732932
115,118,Environmental Research,21524,00139351,10960953,Journal,3.0,10960953
116,119,Evolution,22104,00143820,15585646,Journal,3.0,15585646
117,120,Environmental Monitoring and Assessment,21482,01676369,15732959,Journal,3.0,15732959
118,121,Archiv fur Hydrobiologie,13046,00039136,,Journal,3.0,00039136
119,122,Marine Biodiversity,18300156716,18671616,18671624,Journal,3.0,18671624
120,123,Deep-Sea Research Part I: Oceanographic Research Papers,26830,09670637,,Journal,3.0,09670637
121,124,Neuroscience Letters,18046,03043940,,Journal,3.0,03043940
122,125,Journal of Toxicology and Environmental Health - Part A: Current Issues,25151,15287394,10872620,Journal,3.0,10872620
123,126,Journal of Neurogenetics,16746,01677063,15635260,Journal,3.0,15635260
124,127,BioScience,13768,00063568,15253244,Journal,3.0,15253244
125,128,Coral Reefs,26825,07224028,,Journal,3.0,07224028
126,129,Integrative and Comparative Biology,22023,15407063,15577023,Journal,3.0,15577023
127,130,Biological Conservation,17244,00063207,,Journal,3.0,00063207
128,131,Developmental Dynamics,14538,10588388,10970177,Journal,3.0,10970177
129,132,Elementa,21100777486,,23251026,Journal,2.0,23251026
130,133,Ecotoxicology,25075,09639292,,Journal,2.0,09639292
131,134,Physiologia Plantarum,16530,00319317,13993054,Journal,2.0,13993054
132,135,Plant Physiology,16615,00320889,,Journal,2.0,00320889
133,136,Journal of the American Water Resources Association,19640,1093474X,17521688,Journal,2.0,17521688
134,137,The Anatomical Record,34913,0003276X,10970185,Journal,2.0,10970185
135,138,Nucleic Acids Research,14204,03051048,,Journal,2.0,03051048
136,139,Blood,25454,00064971,,Journal,2.0,00064971
137,140,Journal of Neurocytology,18573,03004864,,Journal,2.0,03004864
138,141,Current Zoology,17600155124,16745507,,Journal,2.0,16745507
139,142,"Brain, Behavior and Evolution",14323,00068977,,Journal,2.0,00068977
140,143,American Journal of Primatology,24131,02752565,10982345,Journal,2.0,10982345
141,144,African Journal of Marine Science,19700184700,1814232X,18142338,Journal,2.0,18142338
142,145,Plant Molecular Biology,13042,01674412,,Journal,2.0,01674412
143,147,Naturwissenschaften,21662,00281042,,Journal,2.0,00281042
144,148,Nature Genetics,18990,10614036,,Journal,2.0,10614036
145,149,Fundamental and Applied Limnology,5400152636,18639135,,Journal,2.0,18639135
146,151,ICES Journal of Marine Science,27298,10543139,10959289,Journal,2.0,10959289
147,152,Evolutionary Ecology Research,21608,15220613,,Journal,2.0,15220613
148,153,Environmental Reviews,21527,11818700,,Journal,2.0,11818700
149,154,Journal of Forensic Sciences,27769,00221198,,Journal,2.0,00221198
150,155,Cancer Research,29183,00085472,,Journal,2.0,00085472
151,156,Emu,21574,01584197,,Journal,2.0,01584197
152,157,Environmental Management,21478,0364152X,14321009,Journal,2.0,14321009
153,158,Canadian Journal of Plant Pathology,17405,07060661,17152992,Journal,2.0,17152992
154,159,Journal of the North American Benthological Society,12904,08873593,,Journal,2.0,08873593
155,160,Journal of the Marine Biological Association of the United Kingdom,12162,00253154,14697769,Journal,2.0,14697769
156,161,Copeia,21399,00458511,,Journal,2.0,00458511
157,162,Seminars in Cancer Biology,24046,1044579X,10963650,Journal,2.0,10963650
158,163,Developmental Brain Research,15034,01653806,,Journal,2.0,01653806
159,164,Plant Science,16620,01689452,,Journal,2.0,01689452
160,166,MGG Molecular &amp; General Genetics,32876,00268925,16174623,Journal,2.0,16174623
161,167,Molecular Breeding,19357,13803743,,Journal,2.0,13803743
162,168,BMC Genomics,21727,,14712164,Journal,2.0,14712164
163,169,Biology of Reproduction,13703,00063363,15297268,Journal,2.0,15297268
164,170,Stem Cells,14272,10665099,,Journal,2.0,10665099
165,171,Journal of Animal Ecology,29544,00218790,13652656,Journal,2.0,13652656
166,172,Genesis,22142,1526954X,1526968X,Journal,2.0,1526968X
167,173,Theoretical and Applied Genetics,19046,00405752,14322242,Journal,2.0,14322242
168,174,British Phycological Journal,67985,00071617,,Journal,2.0,00071617
169,175,Aquatic Toxicology,24602,0166445X,18791514,Journal,2.0,18791514
170,176,Journal of Biogeography,29269,03050270,13652699,Journal,2.0,13652699
171,177,Management of Biological Invasions,21100790931,,19898649,Journal,2.0,19898649
172,178,Biodiversity and Conservation,17242,09603115,15729710,Journal,2.0,15729710
173,179,PLoS biology,12977,,15457885,Journal,2.0,15457885
174,180,Frontiers in Microbiology,21100226442,,1664302X,Journal,2.0,1664302X
175,181,Zootaxa,4700151916,11755326,11755334,Journal,2.0,11755334
176,182,Frontiers in Marine Science,21100790929,,22967745,Journal,2.0,22967745
177,183,Ecology,20308,00129658,,Journal,2.0,00129658
178,184,Biological Control,13256,10499644,,Journal,2.0,10499644
179,185,Ecological Indicators,20292,1470160X,,Journal,2.0,1470160X
180,186,Journal of Environmental Management,23371,03014797,10958630,Journal,2.0,10958630
181,187,Water (Switzerland),21100255400,,20734441,Journal,2.0,20734441
182,188,Applied Geochemistry,24615,08832927,18729134,Journal,2.0,18729134
183,189,Global Change Biology,15131,13541013,13652486,Journal,2.0,13652486
184,190,"G3: Genes, Genomes, Genetics",21100232417,,21601836,Journal,2.0,21601836
185,191,Canadian Field-Naturalist,20071,00083550,,Journal,2.0,00083550
186,192,Insect Science,11300153701,16729609,17447917,Journal,2.0,17447917
187,193,BMC Plant Biology,16794,,14712229,Journal,2.0,14712229
188,194,Ecography,20276,09067590,16000587,Journal,2.0,16000587
189,196,Forensic Science International,27743,03790738,18726283,Journal,2.0,18726283
